genre,genre_achievements_mean
"Action,Adventure,Racing,RPG",17
"Action,Adventure,Racing,RPG,Simulation",NA
"Action,Adventure,Racing,RPG,Simulation,Sports",14
"Action,Adventure,Racing,Simulation,Early Access",NA
"Action,Adventure,Racing,Simulation,Sports",NA
"Action,Adventure,Racing,Simulation,Strategy",NA
"Action,Adventure,RPG",129.10344827586206
"Action,Adventure,RPG,Early Access",25.25
"Action,Adventure,RPG,Early Access,Simulation",NA
"Action,Adventure,RPG,Indie",NA
"Action,Adventure,RPG,Movie,Documentary",NA
"Action,Adventure,RPG,Sexual Content,Nudity,Violent,Gore",NA
"Action,Adventure,RPG,Simulation",NA
"Action,Adventure,RPG,Simulation,Sports,Strategy",43
"Action,Adventure,RPG,Simulation,Strategy",55.5
"Action,Adventure,RPG,Simulation,Strategy,Early Access",NA
"Action,Adventure,RPG,Sports,Early Access",NA
"Action,Adventure,RPG,Strategy",36.5
"Action,Adventure,RPG,Strategy,Early Access",NA
"Action,Adventure,RPG,Violent",NA
"Action,Adventure,RPG,Violent,Gore",NA
"Action,Adventure,Simulation",21.333333333333332
"Action,Adventure,Simulation,Early Access",51
"Action,Adventure,Simulation,Strategy",NA
"Action,Adventure,Simulation,Strategy,Early Access",NA
"Action,Adventure,Simulation,Strategy,Racing,Violent,Gore",NA
"Action,Adventure,Sports",29.666666666666668
"Action,Adventure,Strategy",57.27272727272727
"Action,Adventure,Strategy,Casual,RPG,Simulation,Racing,Violent,Indie",NA
"Action,Adventure,Strategy,Early Access",13
"Action,Adventure,Strategy,Racing",NA
"Action,Adventure,Strategy,RPG,Indie",NA
"Action,Adventure,Violent",NA
"Action,Casual",334.0416666666667
"Action,Casual,Early Access",17
"Action,Casual,Free to Play",40
"Action,Casual,Free to Play,Indie",19.82608695652174
"Action,Casual,Free to Play,Indie,Early Access",16.333333333333332
"Action,Casual,Free to Play,Indie,Massively Multiplayer",NA
"Action,Casual,Free to Play,Indie,Massively Multiplayer,Early Access",54
"Action,Casual,Free to Play,Indie,Massively Multiplayer,RPG",NA
"Action,Casual,Free to Play,Indie,Massively Multiplayer,RPG,Simulation,Strategy",79
"Action,Casual,Free to Play,Indie,Massively Multiplayer,Simulation",NA
"Action,Casual,Free to Play,Indie,Racing",36
"Action,Casual,Free to Play,Indie,Racing,Simulation,Sports,Early Access",NA
"Action,Casual,Free to Play,Indie,Racing,Sports,Early Access",NA
"Action,Casual,Free to Play,Indie,RPG",58.5
"Action,Casual,Free to Play,Indie,RPG,Simulation,Strategy",82
"Action,Casual,Free to Play,Indie,RPG,Sports",NA
"Action,Casual,Free to Play,Indie,RPG,Strategy",17
"Action,Casual,Free to Play,Indie,Simulation",3
"Action,Casual,Free to Play,Indie,Simulation,Sports",NA
"Action,Casual,Free to Play,Indie,Simulation,Sports,Early Access",2038.5
"Action,Casual,Free to Play,Indie,Simulation,Sports,Strategy",NA
"Action,Casual,Free to Play,Indie,Simulation,Sports,Strategy,Adventure",NA
"Action,Casual,Free to Play,Indie,Simulation,Strategy",25
"Action,Casual,Free to Play,Indie,Simulation,Strategy,Early Access",NA
"Action,Casual,Free to Play,Indie,Sports",19
"Action,Casual,Free to Play,Indie,Sports,Early Access",NA
"Action,Casual,Free to Play,Indie,Strategy",24.8
"Action,Casual,Free to Play,Massively Multiplayer",33
"Action,Casual,Free to Play,Massively Multiplayer,RPG",NA
"Action,Casual,Free to Play,Massively Multiplayer,RPG,Simulation",NA
"Action,Casual,Free to Play,Massively Multiplayer,RPG,Simulation,Strategy",NA
"Action,Casual,Free to Play,Massively Multiplayer,Simulation,Sports",NA
"Action,Casual,Free to Play,Massively Multiplayer,Simulation,Strategy",NA
"Action,Casual,Free to Play,Massively Multiplayer,Sports",NA
"Action,Casual,Free to Play,Massively Multiplayer,Sports,Strategy",NA
"Action,Casual,Free to Play,Massively Multiplayer,Strategy,Early Access",NA
"Action,Casual,Free to Play,RPG,Simulation,Strategy",1
